ID,Food_Code_description
eo280102,"Filled chocolate-coated bars and sweets e.g. Mars, Snickers, Minstrels"
eo280103,Single chocolate (after dinner)
eo280104,Chewing gum and bubble gum
eo280105,"Mints e.g. Polo, Extra Strong"
eo280106,"Boiled sweets, jellies and unspecified 'sweets' e.g. fruit gums"
eo280107,"Uncoated toffee or fudge, uncoated e.g. Toffos, chocolate eclairs, caramels"
eo280108,"Pick 'n' mix, nougat, liquorice and other sweets"
eo290,"Ice cream, desserts and cakes"
eo2901,Ice cream
eo290101,"Ice cream in a cone, cornet or wafer and ice cream desserts"
eo290103,Ice cream scoop or tub including ice cream served with dessert
eo290104,Iced lollies and sorbets
eo2902,Cakes and desserts
eo290201,Doughnut
eo290202,"Cream pastries e.g. chocolate eclairs, profiteroles"
eo290203,Cream sponge or gateau (not chocolate) e.g. Victoria sandwich
eo290204,Rich chocolate cake or chocolate gateau e.g. Death by Chocolate
eo290205,Fruit and other pies or pastries
eo290206,Fruit cake
eo290207,Other sponge cakes or desserts (not cream cakes)
eo290208,Custard desserts or sweet soufflé
eo290209,Meringue desserts including pavlova
eo290210,Cheesecake
eo290211,"Fool, trifle and mousse desserts"
eo290212,Jelly
eo290213,"Milk and rice puddings including tapioca, semolina"
eo290214,"Other cakes and desserts, unspecified 'cake' or 'dessert'"
eo2903,Waffles and pancakes
eo290301,Waffles and pancakes
eo2904,"Teacakes, scones etc."
eo290401,"Teacakes, scones, currant buns, iced buns"
eo300,Biscuits and chocolate
eo3001,Chocolates and biscuits
eo300101,Fully-coated chocolate biscuits or wafers
eo300102,Sweet biscuits including half-coated chocolate biscuits
eo300103,Cereal bars and cereal based cakes
eo300104,Savoury biscuits
eo310,"Crisps, nuts and snacks"
eo3101,Nuts and crisps
eo310101,"Nuts, nut products and seeds"
eo310102,"Potato crisps or snacks including unspecified 'crisps', prawn crackers"
eo310103,"Cornsnacks, based on maize"
eo310104,Wheat based savoury snack
eo3102,Popcorn
eo310201,Popcorn
eo3103,Other food
eo310301,Other savoury snacks (including hors d'oeuvres)
eo500101,Adults EO Spend - Confectionery - School  (1)
eo500102,Adults EO Spend - Confectionery - Work  (2)
eo500103,"Adults EO Spend - Confectionery - Catering (3, 4,5,7) - On"
eo500104,"Adults EO Spend - Confectionery - Catering (3, 4,5,7) - Off"
eo500105,Adults EO Spend - Confectionery - Shops (6)
eo500201,Adults EO Spend - Ice Cream - School  (1)
eo500202,Adults EO Spend - Ice Cream - Work  (2)
eo500203,"Adults EO Spend - Ice Cream - Catering (3, 4,5,7) - On"
eo500204,"Adults EO Spend - Ice Cream - Catering (3, 4,5,7) - Off"
eo500205,Adults EO Spend - Ice Cream - Shops (6)
eo500301,Adults EO Spend - Soft Drinks - School  (1)
eo500302,Adults EO Spend - Soft Drinks - Work  (2)
eo500303,"Adults EO Spend - Soft Drinks - Catering (3, 4,5,7) - On"
eo500304,"Adults EO Spend - Soft Drinks - Catering (3, 4,5,7) - Off"
eo500305,Adults EO Spend - Soft Drinks - Shops (6)
eo500401,Adults EO Spend - All other food - School  (1)
eo500402,Adults EO Spend - All other food - Work  (2)
eo500403,"Adults EO Spend - All other food - Catering (3, 4,5,7) - On"
eo500404,"Adults EO Spend - All other food - Catering (3, 4,5,7) - Off - Hot"
eo500405,"Adults EO Spend - All other food - Catering (3, 4,5,7) - Off - Cold"
eo500406,Adults EO Spend - All other food - Shops (6) - On
eo500407,Adults EO Spend - All other food - Shops (6) - Off - Hot
eo500408,Adults EO Spend - All other food - Shops (6) - Off - Cold
eo500501,Childrens EO Spend - Confectionery
eo500601,Childrens EO Spend - Ice cream
eo500701,Childrens EO Spend - Soft drinks
eo500801,Childrens EO Spend - School Dinner
eo500901,Childrens EO Spend - All other food - Hot
eo500902,Childrens EO Spend - All other food - Cold
eo90001,total expenditure on food and drink eaten out
eo90002,total expenditure on food and drink eaten out (exc alc drks)
eo90003,total expenditure on alcoholic drink eaten out
